date,demand,civilians_rank
2014-02-04,200,1
2014-02-11,194,2
2014-02-18,200,3
2014-02-25,197,1
2014-03-04,204,2
2014-03-11,195,3
2014-03-18,187,2
2014-03-25,193,4
2014-04-01,242,2
2014-04-08,154,4
2014-04-15,237,4
2014-04-22,235,2
2014-04-29,175,3
2014-05-06,243,3
2014-05-13,237,3
2014-05-20,208,3
2014-05-27,273,1
2014-06-03,183,2
2014-06-10,207,2
2014-06-17,221,3
2014-06-24,219,1
2014-07-01,193,2
2014-07-08,224,1
2014-07-15,194,2
2014-07-22,178,3
2014-07-29,103,2
2014-08-05,174,3
2014-08-12,166,1
2014-08-19,191,4
2014-08-26,170,2
2014-09-02,177,1
2014-09-09,214,2
2014-09-16,173,2
2014-09-23,169,1
2014-09-30,165,1
2014-10-07,98,3
2014-10-14,212,1
2014-10-21,173,2
2014-10-28,193,1
2014-11-04,167,1
2014-11-11,205,2
2014-11-18,212,3
2014-11-25,190,1
2014-12-02,184,3
2014-12-09,172,1
2014-12-16,169,2
2014-12-23,222,2
2014-12-30,195,4
2015-01-06,168,2
2015-01-13,157,1
2015-01-20,190,1
2015-01-27,216,1
2015-02-03,217,2
2015-02-10,240,3
2015-02-17,216,1
2015-02-24,205,2
2015-03-03,206,2
2015-03-10,244,1
2015-03-17,228,1
2015-03-24,216,3
2015-03-31,198,2
2015-04-07,179,1
2015-04-14,190,1
2015-04-21,201,2
2015-04-28,187,3
2015-05-05,185,3
2015-05-12,193,3
2015-05-19,211,1
2015-05-26,201,3
2015-06-02,188,1
2015-06-09,190,2
2015-06-16,192,3
2015-06-23,183,1
2015-06-30,156,4
2015-07-07,157,1
2015-07-14,146,1
2015-07-21,106,1
2015-07-28,189,2
2015-08-04,151,3
2015-08-11,165,2
2015-08-18,178,3
2015-08-25,177,2
2015-09-01,193,1
2015-09-08,166,1
2015-09-15,182,1
2015-09-22,182,2
2015-09-29,78,1
2015-10-06,174,2
2015-10-13,177,2
2015-10-20,174,3
2015-10-27,177,2
2015-11-03,160,3
2015-11-10,181,4
2015-11-17,168,3
2015-11-24,150,3
2015-12-01,190,3
2015-12-08,166,2
2015-12-15,209,4
2015-12-22,214,3
2015-12-29,248,2
2016-01-05,192,1
2016-01-12,191,3
2016-01-19,159,1
2016-01-26,181,2
2016-02-02,282,3
2016-02-09,203,3
2016-02-16,210,2
2016-02-23,210,2
2016-03-01,188,3
2016-03-08,199,1
2016-03-15,173,1
2016-03-22,171,1
2016-03-29,142,1
2016-04-05,153,1
2016-04-12,166,1
2016-04-19,180,4
2016-04-26,145,4
2016-05-03,159,4
2016-05-10,188,3
2016-05-17,151,3
2016-05-24,171,4
2016-05-31,137,4
2016-06-07,156,4
2016-06-14,149,4
2016-06-21,131,4
2016-06-28,172,4
2016-07-05,92,4
2016-07-12,104,4
2016-07-19,212,4
2016-07-26,191,4
2016-08-02,235,4
2016-08-09,228,4
2016-08-16,240,4
2016-08-23,184,4
2016-08-30,260,4
2016-09-06,199,4
2016-09-13,155,4
2016-09-20,178,4
2016-09-27,256,4
2016-10-04,232,4
2016-10-11,259,4
2016-10-18,213,4
2016-10-25,213,3
2016-11-01,169,3
2016-11-08,231,4
2016-11-15,198,4
2016-11-22,220,4
2016-11-29,240,4
2016-12-06,273,4
2016-12-13,271,4
2016-12-20,278,1
2016-12-27,293,3
2017-01-03,177,2
