date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2015-04-14,6,4.0,7.0,2.0,3.0,1.0
2015-04-21,4,6.0,4.0,7.0,2.0,3.0
2015-04-28,3,4.0,6.0,4.0,7.0,2.0
2015-05-05,3,3.0,4.0,6.0,4.0,7.0
2015-05-12,3,3.0,3.0,4.0,6.0,4.0
2015-05-19,3,3.0,3.0,3.0,4.0,6.0
2015-05-26,7,3.0,3.0,3.0,3.0,4.0
2015-06-02,1,7.0,3.0,3.0,3.0,3.0
2015-06-09,5,1.0,7.0,3.0,3.0,3.0
2015-06-16,20,5.0,1.0,7.0,3.0,3.0
2015-06-23,29,20.0,5.0,1.0,7.0,3.0
2015-06-30,27,29.0,20.0,5.0,1.0,7.0
2015-07-07,37,27.0,29.0,20.0,5.0,1.0
2015-07-14,28,37.0,27.0,29.0,20.0,5.0
2015-07-21,15,28.0,37.0,27.0,29.0,20.0
2015-07-28,39,15.0,28.0,37.0,27.0,29.0
2015-08-04,35,39.0,15.0,28.0,37.0,27.0
2015-08-11,28,35.0,39.0,15.0,28.0,37.0
2015-08-18,37,28.0,35.0,39.0,15.0,28.0
2015-08-25,28,37.0,28.0,35.0,39.0,15.0
2015-09-01,39,28.0,37.0,28.0,35.0,39.0
2015-09-08,30,39.0,28.0,37.0,28.0,35.0
2015-09-15,28,30.0,39.0,28.0,37.0,28.0
2015-09-22,37,28.0,30.0,39.0,28.0,37.0
2015-09-29,12,37.0,28.0,30.0,39.0,28.0
2015-10-06,56,12.0,37.0,28.0,30.0,39.0
2015-10-13,56,56.0,12.0,37.0,28.0,30.0
2015-10-20,89,56.0,56.0,12.0,37.0,28.0
2015-10-27,139,89.0,56.0,56.0,12.0,37.0
2015-11-03,136,139.0,89.0,56.0,56.0,12.0
2015-11-10,130,136.0,139.0,89.0,56.0,56.0
2015-11-17,124,130.0,136.0,139.0,89.0,56.0
2015-11-24,105,124.0,130.0,136.0,139.0,89.0
2015-12-01,103,105.0,124.0,130.0,136.0,139.0
2015-12-08,116,103.0,105.0,124.0,130.0,136.0
2015-12-15,109,116.0,103.0,105.0,124.0,130.0
2015-12-22,89,109.0,116.0,103.0,105.0,124.0
2015-12-29,85,89.0,109.0,116.0,103.0,105.0
2016-01-05,32,85.0,89.0,109.0,116.0,103.0
2016-01-12,91,32.0,85.0,89.0,109.0,116.0
2016-01-19,65,91.0,32.0,85.0,89.0,109.0
2016-01-26,43,65.0,91.0,32.0,85.0,89.0
2016-02-02,65,43.0,65.0,91.0,32.0,85.0
2016-02-09,63,65.0,43.0,65.0,91.0,32.0
2016-02-16,85,63.0,65.0,43.0,65.0,91.0
2016-02-23,81,85.0,63.0,65.0,43.0,65.0
2016-03-01,67,81.0,85.0,63.0,65.0,43.0
2016-03-08,73,67.0,81.0,85.0,63.0,65.0
2016-03-15,84,73.0,67.0,81.0,85.0,63.0
2016-03-22,109,84.0,73.0,67.0,81.0,85.0
2016-03-29,130,109.0,84.0,73.0,67.0,81.0
2016-04-05,110,130.0,109.0,84.0,73.0,67.0
2016-04-12,114,110.0,130.0,109.0,84.0,73.0
2016-04-19,127,114.0,110.0,130.0,109.0,84.0
2016-04-26,139,127.0,114.0,110.0,130.0,109.0
2016-05-03,127,139.0,127.0,114.0,110.0,130.0
2016-05-10,92,127.0,139.0,127.0,114.0,110.0
2016-05-17,119,92.0,127.0,139.0,127.0,114.0
2016-05-24,131,119.0,92.0,127.0,139.0,127.0
2016-05-31,145,131.0,119.0,92.0,127.0,139.0
2016-06-07,161,145.0,131.0,119.0,92.0,127.0
2016-06-14,113,161.0,145.0,131.0,119.0,92.0
2016-06-21,85,113.0,161.0,145.0,131.0,119.0
2016-06-28,78,85.0,113.0,161.0,145.0,131.0
2016-07-05,72,78.0,85.0,113.0,161.0,145.0
2016-07-12,47,72.0,78.0,85.0,113.0,161.0
2016-07-19,91,47.0,72.0,78.0,85.0,113.0
2016-07-26,77,91.0,47.0,72.0,78.0,85.0
2016-08-02,63,77.0,91.0,47.0,72.0,78.0
2016-08-09,96,63.0,77.0,91.0,47.0,72.0
2016-08-16,78,96.0,63.0,77.0,91.0,47.0
2016-08-23,207,78.0,96.0,63.0,77.0,91.0
2016-08-30,135,207.0,78.0,96.0,63.0,77.0
2016-09-06,120,135.0,207.0,78.0,96.0,63.0
2016-09-13,70,120.0,135.0,207.0,78.0,96.0
2016-09-20,129,70.0,120.0,135.0,207.0,78.0
2016-09-27,123,129.0,70.0,120.0,135.0,207.0
2016-10-04,136,123.0,129.0,70.0,120.0,135.0
2016-10-11,116,136.0,123.0,129.0,70.0,120.0
2016-10-18,136,116.0,136.0,123.0,129.0,70.0
2016-10-25,145,136.0,116.0,136.0,123.0,129.0
2016-11-01,113,145.0,136.0,116.0,136.0,123.0
2016-11-08,84,113.0,145.0,136.0,116.0,136.0
2016-11-15,104,84.0,113.0,145.0,136.0,116.0
2016-11-22,83,104.0,84.0,113.0,145.0,136.0
2016-11-29,63,83.0,104.0,84.0,113.0,145.0
2016-12-06,68,63.0,83.0,104.0,84.0,113.0
2016-12-13,67,68.0,63.0,83.0,104.0,84.0
2016-12-20,138,67.0,68.0,63.0,83.0,104.0
2016-12-27,161,138.0,67.0,68.0,63.0,83.0
2017-01-03,48,161.0,138.0,67.0,68.0,63.0
