demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
200,1,149.0,235.0,151.0,151.0,202.50022657271006,-8.911383903650774
194,2,200.0,149.0,235.0,151.0,202.24213275518974,41.69708326629189
200,3,194.0,200.0,149.0,235.0,201.98403893766948,20.722217102901226
197,1,200.0,194.0,200.0,149.0,201.7259451201492,16.785812477972087
204,2,197.0,200.0,194.0,200.0,201.46785130262887,12.003254006889136
195,3,204.0,197.0,200.0,194.0,201.20975748510853,7.111721176831773
187,2,195.0,204.0,197.0,200.0,200.95166366758824,20.31313706472318
193,4,187.0,195.0,204.0,197.0,200.6935698500679,3.838270901332532
242,2,193.0,187.0,195.0,204.0,200.4354760325476,1.2864816610187697
154,4,242.0,193.0,187.0,195.0,200.1773822150273,1.718666779679392
237,4,154.0,242.0,193.0,187.0,199.91928839750702,-30.916455793967685
235,2,237.0,154.0,242.0,193.0,199.6611945799867,4.256113940077541
175,3,235.0,237.0,154.0,242.0,199.40310076246638,11.72996572540482
243,3,175.0,235.0,237.0,154.0,199.1450069449461,-24.70964402772941
237,3,243.0,175.0,235.0,237.0,198.88691312742577,1.9725410909311933
208,3,237.0,243.0,175.0,235.0,198.62881930990542,12.302162107027721
273,1,208.0,237.0,243.0,175.0,198.37072549238513,-3.650268158927057
183,2,273.0,208.0,237.0,243.0,198.11263167486484,21.38448106229765
207,2,183.0,273.0,208.0,237.0,197.85453785734447,-24.47179535750327
221,3,207.0,183.0,273.0,208.0,197.59644403982418,-9.888969213201626
219,1,221.0,207.0,183.0,273.0,197.33835022230392,-7.453578966335896
193,2,219.0,221.0,207.0,183.0,197.0802564047836,-17.540624616906037
224,1,193.0,219.0,221.0,207.0,196.8221625872633,-21.948183087988987
194,2,224.0,193.0,219.0,221.0,196.56406876974296,-33.99797531424648
178,3,194.0,224.0,193.0,219.0,196.30597495222267,-43.783424229214944
103,2,178.0,194.0,224.0,193.0,196.04788113470238,-26.392591092901373
174,3,103.0,178.0,194.0,224.0,192.00961538461542,-29.187213466245066
166,1,174.0,103.0,178.0,194.0,192.8173076923077,-3.9048474998741365
191,4,166.0,174.0,103.0,178.0,193.42307692307702,-4.5487635847852905
170,2,191.0,166.0,174.0,103.0,194.0192307692308,12.038089561072832
177,1,170.0,191.0,166.0,174.0,194.25000000000003,-14.054544472556262
214,2,177.0,170.0,191.0,166.0,194.34615384615384,18.936154827148
173,2,214.0,177.0,170.0,191.0,194.8365384615384,1.9557002806984196
169,1,173.0,214.0,177.0,170.0,195.70192307692304,-21.03116452216144
165,1,169.0,173.0,214.0,177.0,196.31730769230762,-14.601362658354617
98,3,165.0,169.0,173.0,214.0,196.11538461538458,-24.229253102240094
212,1,98.0,165.0,169.0,173.0,195.9326923076923,-22.257784571766628
173,2,212.0,98.0,165.0,169.0,195.72115384615387,25.95406857409147
193,1,173.0,212.0,98.0,165.0,194.9423076923077,-2.9943346903068564
167,1,193.0,173.0,212.0,98.0,194.73076923076923,4.925851788884587
205,2,167.0,193.0,173.0,212.0,194.28846153846158,-23.727679680641927
212,3,205.0,167.0,193.0,173.0,193.3076923076923,17.013019619062305
190,1,212.0,205.0,167.0,193.0,192.9134615384616,4.333847123894762
184,3,190.0,212.0,205.0,167.0,192.25000000000003,-1.175453576400987
172,1,184.0,190.0,212.0,205.0,191.60576923076928,17.279989313046848
169,2,172.0,184.0,190.0,212.0,191.49038461538458,16.57197066403316
222,2,169.0,172.0,184.0,190.0,191.0480769230769,29.613952015019454
195,4,222.0,169.0,172.0,184.0,190.4230769230769,51.77452310959553
168,2,195.0,222.0,169.0,172.0,189.72115384615384,59.43829933237669
157,1,168.0,195.0,222.0,169.0,188.72115384615387,-4.161308379414094
190,1,157.0,168.0,195.0,222.0,187.61538461538458,-9.094000687106387
216,1,190.0,157.0,168.0,195.0,186.4615384615385,-8.324769917875656
217,2,216.0,190.0,157.0,168.0,186.59615384615387,-8.911383903650774
240,3,217.0,216.0,190.0,157.0,187.2019230769231,41.69708326629189
216,1,240.0,217.0,216.0,190.0,186.97115384615387,20.722217102901226
205,2,216.0,240.0,217.0,216.0,186.83653846153848,16.785812477972087
206,2,205.0,216.0,240.0,217.0,186.77884615384616,12.003254006889136
244,1,206.0,205.0,216.0,240.0,187.00000000000009,7.111721176831773
228,1,244.0,206.0,205.0,216.0,186.6923076923077,20.31313706472318
216,3,228.0,244.0,206.0,205.0,186.3173076923077,3.838270901332532
198,2,216.0,228.0,244.0,206.0,186.52884615384616,1.2864816610187697
179,1,198.0,216.0,228.0,244.0,185.8173076923077,1.718666779679392
190,1,179.0,198.0,216.0,228.0,185.71153846153848,-30.916455793967685
201,2,190.0,179.0,198.0,216.0,186.10576923076923,4.256113940077541
187,3,201.0,190.0,179.0,198.0,185.77884615384616,11.72996572540482
185,3,187.0,201.0,190.0,179.0,185.63461538461536,-24.70964402772941
193,3,185.0,187.0,201.0,190.0,185.41346153846158,1.9725410909311933
211,1,193.0,185.0,187.0,201.0,185.11538461538458,12.302162107027721
201,3,211.0,193.0,185.0,187.0,184.46153846153842,-3.650268158927057
188,1,201.0,211.0,193.0,185.0,183.65384615384613,21.38448106229765
190,2,188.0,201.0,211.0,193.0,183.3269230769231,-24.47179535750327
192,3,190.0,188.0,201.0,211.0,183.3269230769231,-9.888969213201626
183,1,192.0,190.0,188.0,201.0,183.65384615384616,-7.453578966335896
156,4,183.0,192.0,190.0,188.0,183.96153846153848,-17.540624616906037
157,1,156.0,183.0,192.0,190.0,184.3942307692308,-21.948183087988987
146,1,157.0,156.0,183.0,192.0,185.13461538461542,-33.99797531424648
106,1,146.0,157.0,156.0,183.0,185.6923076923077,-43.783424229214944
189,2,106.0,146.0,157.0,156.0,185.72115384615387,-26.392591092901373
151,3,189.0,106.0,146.0,157.0,185.0865384615385,-29.187213466245066
165,2,151.0,189.0,106.0,146.0,185.37500000000003,-3.9048474998741365
178,3,165.0,151.0,189.0,106.0,185.6442307692308,-4.5487635847852905
177,2,178.0,165.0,151.0,189.0,185.23076923076923,12.038089561072832
193,1,177.0,178.0,165.0,151.0,185.22115384615387,-14.054544472556262
166,1,193.0,177.0,178.0,165.0,185.0961538461539,18.936154827148
182,1,166.0,193.0,177.0,178.0,184.49038461538464,1.9557002806984196
182,2,182.0,166.0,193.0,177.0,183.52884615384616,-21.03116452216144
78,1,182.0,182.0,166.0,193.0,182.5673076923077,-14.601362658354617
174,2,78.0,182.0,182.0,166.0,181.59615384615384,-24.229253102240094
177,2,174.0,78.0,182.0,182.0,180.8076923076923,-22.257784571766628
174,3,177.0,174.0,78.0,182.0,180.32692307692304,25.95406857409147
177,2,174.0,177.0,174.0,78.0,179.89423076923077,-2.9943346903068564
160,3,177.0,174.0,177.0,174.0,179.28846153846152,4.925851788884587
181,4,160.0,177.0,174.0,177.0,178.63461538461536,-23.727679680641927
168,3,181.0,160.0,177.0,174.0,178.33653846153848,17.013019619062305
150,3,168.0,181.0,160.0,177.0,177.71153846153842,4.333847123894762
190,3,150.0,168.0,181.0,160.0,176.84615384615387,-1.175453576400987
166,2,190.0,150.0,168.0,181.0,176.0673076923077,17.279989313046848
209,4,166.0,190.0,150.0,168.0,175.25000000000003,16.57197066403316
214,3,209.0,166.0,190.0,150.0,174.50961538461542,29.613952015019454
248,2,214.0,209.0,166.0,190.0,173.59615384615387,51.77452310959553
192,1,248.0,214.0,209.0,166.0,173.25,59.43829933237669
191,3,192.0,248.0,214.0,209.0,172.77884615384616,-4.161308379414094
159,1,191.0,192.0,248.0,214.0,171.75000000000003,-9.094000687106387
181,2,159.0,191.0,192.0,248.0,172.36538461538467,-8.324769917875656
282,3,181.0,159.0,191.0,192.0,173.40384615384616,-8.911383903650774
203,3,282.0,181.0,159.0,191.0,174.23076923076923,41.69708326629189
210,2,203.0,282.0,181.0,159.0,175.64423076923077,20.722217102901226
210,2,210.0,203.0,282.0,181.0,176.8461538461539,16.785812477972087
188,3,210.0,210.0,203.0,282.0,177.50961538461542,12.003254006889136
199,1,188.0,210.0,210.0,203.0,178.22115384615387,7.111721176831773
173,1,199.0,188.0,210.0,210.0,179.1826923076923,20.31313706472318
171,1,173.0,199.0,188.0,210.0,179.24038461538458,3.838270901332532
142,1,171.0,173.0,199.0,188.0,178.9423076923077,1.2864816610187697
153,1,142.0,171.0,173.0,199.0,180.61538461538464,1.718666779679392
166,1,153.0,142.0,171.0,173.0,182.88461538461542,-30.916455793967685
180,4,166.0,153.0,142.0,171.0,184.23076923076923,4.256113940077541
145,4,180.0,166.0,153.0,142.0,185.3942307692308,11.72996572540482
159,4,145.0,180.0,166.0,153.0,186.11538461538458,-24.70964402772941
188,3,159.0,145.0,180.0,166.0,186.5480769230769,1.9725410909311933
151,3,188.0,159.0,145.0,180.0,187.11538461538456,12.302162107027721
171,4,151.0,188.0,159.0,145.0,187.88461538461542,-3.650268158927057
137,4,171.0,151.0,188.0,159.0,188.84615384615387,21.38448106229765
156,4,137.0,171.0,151.0,188.0,190.00000000000003,-24.47179535750327
149,4,156.0,137.0,171.0,151.0,191.50961538461542,-9.888969213201626
131,4,149.0,156.0,137.0,171.0,193.13461538461544,-7.453578966335896
172,4,131.0,149.0,156.0,137.0,194.34615384615384,-17.540624616906037
92,4,172.0,131.0,149.0,156.0,195.39423076923072,-21.948183087988987
104,4,92.0,172.0,131.0,149.0,183.0613166501389,-33.99797531424648
212,4,104.0,92.0,172.0,131.0,183.11806490487228,-43.783424229214944
191,4,212.0,104.0,92.0,172.0,183.17481315960566,-26.392591092901373
235,4,191.0,212.0,104.0,92.0,183.2315614143391,-29.187213466245066
228,4,235.0,191.0,212.0,104.0,183.28830966907245,-3.9048474998741365
240,4,228.0,235.0,191.0,212.0,183.34505792380588,-4.5487635847852905
184,4,240.0,228.0,235.0,191.0,183.40180617853932,12.038089561072832
260,4,184.0,240.0,228.0,235.0,183.4585544332727,-14.054544472556262
199,4,260.0,184.0,240.0,228.0,183.5153026880061,18.936154827148
155,4,199.0,260.0,184.0,240.0,183.57205094273948,1.9557002806984196
178,4,155.0,199.0,260.0,184.0,183.62879919747292,-21.03116452216144
256,4,178.0,155.0,199.0,260.0,183.6855474522063,-14.601362658354617
232,4,256.0,178.0,155.0,199.0,183.7422957069397,-24.229253102240094
259,4,232.0,256.0,178.0,155.0,183.79904396167308,-22.257784571766628
213,4,259.0,232.0,256.0,178.0,183.85579221640648,25.95406857409147
213,3,213.0,259.0,232.0,256.0,183.91254047113992,-2.9943346903068564
169,3,213.0,213.0,259.0,232.0,183.9692887258733,4.925851788884587
231,4,169.0,213.0,213.0,259.0,184.02603698060668,-23.727679680641927
198,4,231.0,169.0,213.0,213.0,184.08278523534008,17.013019619062305
220,4,198.0,231.0,169.0,213.0,184.13953349007352,4.333847123894762
240,4,220.0,198.0,231.0,169.0,184.19628174480687,-1.175453576400987
273,4,240.0,220.0,198.0,231.0,184.2530299995403,17.279989313046848
271,4,273.0,240.0,220.0,198.0,184.30977825427368,16.57197066403316
278,1,271.0,273.0,240.0,220.0,184.36652650900712,29.613952015019454
293,3,278.0,271.0,273.0,240.0,184.42327476374047,51.77452310959553
177,2,293.0,278.0,271.0,273.0,184.4800230184739,59.43829933237669
