,t+1,t-1
0,16,
1,46,16.0
2,37,46.0
3,31,37.0
4,50,31.0
5,43,50.0
6,16,43.0
7,55,16.0
8,59,55.0
9,52,59.0
10,65,52.0
11,26,65.0
12,53,26.0
13,44,53.0
14,52,44.0
15,36,52.0
16,58,36.0
17,58,58.0
18,32,58.0
19,37,32.0
20,50,37.0
21,55,50.0
22,22,55.0
23,47,22.0
24,15,47.0
25,49,15.0
26,32,49.0
27,26,32.0
28,63,26.0
29,59,63.0
30,41,59.0
31,51,41.0
32,48,51.0
33,34,48.0
34,18,34.0
35,59,18.0
36,37,59.0
37,51,37.0
38,53,51.0
39,50,53.0
40,34,50.0
41,55,34.0
42,50,55.0
43,71,50.0
44,54,71.0
45,63,54.0
46,25,63.0
47,60,25.0
48,55,60.0
49,47,55.0
50,42,47.0
51,81,42.0
52,55,81.0
53,69,55.0
54,53,69.0
55,32,53.0
56,89,32.0
57,49,89.0
58,72,49.0
59,44,72.0
60,81,44.0
61,35,81.0
62,73,35.0
63,49,73.0
64,55,49.0
65,54,55.0
66,49,54.0
67,42,49.0
68,61,42.0
69,70,61.0
70,68,70.0
71,61,68.0
72,58,61.0
73,77,58.0
74,59,77.0
75,23,59.0
76,68,23.0
77,79,68.0
78,60,79.0
79,66,60.0
80,50,66.0
81,49,50.0
82,49,49.0
83,45,49.0
84,72,45.0
85,8,72.0
86,92,8.0
87,68,92.0
88,52,68.0
89,59,52.0
90,60,59.0
91,72,60.0
92,52,72.0
93,74,52.0
94,73,74.0
95,63,73.0
96,51,63.0
97,90,51.0
98,42,90.0
99,61,42.0
100,79,61.0
101,58,79.0
102,59,58.0
103,72,59.0
104,113,72.0
105,65,113.0
106,90,65.0
107,82,90.0
108,70,82.0
109,94,70.0
110,69,94.0
111,73,69.0
112,103,73.0
113,76,103.0
114,69,76.0
115,79,69.0
116,65,79.0
117,89,65.0
118,150,89.0
119,73,150.0
120,102,73.0
121,105,102.0
122,102,105.0
123,91,102.0
124,52,91.0
125,51,52.0
126,24,51.0
127,132,24.0
128,102,132.0
129,104,102.0
130,122,104.0
131,95,122.0
132,78,95.0
133,95,78.0
134,136,95.0
135,73,136.0
136,88,73.0
137,159,88.0
138,129,159.0
139,107,129.0
140,127,107.0
141,135,127.0
142,109,135.0
143,147,109.0
144,71,147.0
145,125,71.0
146,90,125.0
147,83,90.0
148,76,83.0
149,88,76.0
150,56,88.0
151,42,56.0
