lag_nb,lb,p-values,bpvalue,bpp-values
0,82.1869389280627,1.2380530293234558e-19,80.5858946632303,2.7833922790760816e-19
1,144.2693138908696,4.702367147700709e-32,141.05574040622403,2.3449584418213375e-31
2,208.05369964578867,7.670320398623651e-45,202.76920454572365,1.063638224718001e-43
3,267.38519478295274,1.167848236936457e-56,259.78908298923193,5.0633615075777496e-55
4,324.0579247488168,6.706297173907935e-68,313.8857797748294,1.0344020751714619e-65
5,383.41804900586163,1.0247415173279886e-79,370.1622612133265,7.22226620248438e-77
6,437.5516058572995,2.090578011030539e-90,421.1321686383816,6.98825327929583e-87
7,492.8264452741797,2.433525771770029e-101,472.8177327684514,4.75659953472174e-97
8,544.6974229485502,1.5252756269158243e-111,520.9836406089381,1.8421580150960937e-106
9,595.267863252517,1.8180280603324254e-121,567.6135271229855,1.5216363888602579e-115
10,637.0029502818081,1.689941549919785e-129,605.8255223900637,7.947124067292791e-123
11,675.0842646360818,9.46749362834302e-137,640.4448990757669,2.4212951780255602e-129
12,714.4018839026166,2.8715849143829587e-144,675.9328801020549,4.7833209404458245e-136
13,752.4233159582919,1.6427715060983074e-151,710.0040335025951,1.8880656887163682e-142
14,779.8384405047008,1.7247187650334998e-156,734.3928131315432,8.631153062143389e-147
15,811.2597025423778,2.5073431571236445e-162,762.1414601258552,7.511446587151997e-152
16,841.0382409419333,8.125723935763449e-168,788.2460230085825,1.455183286726275e-156
17,873.2303564178031,8.0116129345006895e-174,816.257344266807,1.1000234793187096e-161
18,901.7382886229198,4.7982387208706e-179,840.8778311712258,4.359223471008698e-166
19,923.3071643189378,8.590349430953726e-183,859.3654389106698,3.4586384636729384e-169
20,943.8952831224032,2.467233487849454e-186,876.8787088019294,4.380291134704219e-172
21,963.6573562899772,1.0536980277244355e-189,893.5609783589724,8.254413072872067e-175
22,983.7487267967477,3.8016566000116643e-193,910.3907627445138,1.434899362297021e-177
23,998.8210925165004,1.5859422655392198e-195,922.9184433427498,2.021025155236025e-179
24,1009.834218727263,4.765168858007447e-197,932.0006967763009,1.5123980601251735e-180
25,1020.0589006652914,2.080412721320895e-198,940.3663456346878,1.585308609901979e-181
26,1032.296993334879,3.3630354107745975e-200,950.2998624119506,7.65260582657216e-183
27,1041.8313647066113,2.0130007329438175e-201,957.9768887112675,1.0960512908358776e-183
28,1047.530937035171,7.7222806409930715e-202,962.5291445321301,7.087561540221862e-184
29,1056.056470075237,7.390778349787301e-203,969.2831382391954,1.5524756509468416e-184
30,1064.1730487022976,8.543615733979087e-204,975.6604500176,4.037963093257648e-185
31,1071.122154476605,1.7247584761358074e-204,981.0753376339434,1.656692303785835e-185
32,1077.0057812144928,5.781931355747052e-205,985.6217764768568,1.0237112801642132e-185
33,1082.274637498575,2.58439084102178e-205,989.6589520711535,8.00208165358303e-186
34,1086.1873371591437,2.2058296994612403e-205,992.6315875275598,1.034664279230266e-185
35,1090.45272483345,1.569161722022606e-205,995.8444769445697,1.1772038587141814e-185
36,1094.2950980099051,1.35540155767202e-205,998.7137815893252,1.5632279592133586e-185
37,1097.2687374468364,1.7633325444013834e-205,1000.9150471465341,2.8327142703286794e-185
38,1099.7719971956049,2.8481485452087256e-205,1002.7518546245265,6.048649521698733e-185
39,1102.38082413247,4.324022672594158e-205,1004.649183305883,1.2402859769888173e-184
